"cod_producto","cod_barra","nombre_producto","descripcion_producto_previa"
"10001","001","CREDITO",""
"10007","02","ORTODONCIA CONVENCIONAL METALICO  X24",""
"10009","04","MANTENEDOR A PLACA HAWLEY (X ARCADA)  (LABORATORIO)",""
"10011","06","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X12  (BRACKET CERAMICO)",""
"10012","07","CIRUGIA COMPLICADA",""
"10013","08","ANTERIOR SIMPLE CARIES",""
"10014","09","PIEZA DE PUENTE ZIRCONIO PROTESIS  (LABORATORIO) POR CORONA (POR DIENTE)",""
"10015","10","REJILLA PALATINA P/ NIÑOS (LABORATORIO)",""
"10016","11","PROTESIS ACRILICO COMPLETO  (POR ARCADA) (LABORATORIO)",""
"10018","13","SELLADO DE FOSAS Y FISURAS ANTICARIES GENERAL ",""
"10020","15","ANTERIOR CLASE 3 CARIES",""
"10021","16","POSTERIOR MOLAR OCLUSAL COMPLE CARIES ",""
"10022","17","POSTERIOR PRE CLUSAL COMPLE ",""
"10026","21","CORTE FRENILLO PALATINO Y LINGUA",""
"10028","23","TERCER MOLAR INFERIOR NO ERUPCIONADO",""
"10029","24","BRACKET CONVENCIONAL METALICO POR PIEZA",""
"10031","26","ANTERIOR CLASE 4 CARIES",""
"10033","28","CIRUGIA SIMPLE  A PARTIR DE 2 RAICES",""
"10034","29","CARILLA ANTERIOR CON  RESINA (IN SITU)",""
"10035","30","CORONA PORCELANA Y METAL POR PIEZA DENTRIA  (LABORATORIO)",""
"10037","32","ENDODONCIA MECANIZADA MOLAR",""
"10038","39","RADIOGRAFIA  PERIAPICAL ( EN CONSULTORIO)",""
"10042","50","POSTERIOR PREMOLAR OCLUSAL MD  CARIES ",""
"10043","97","POSTERIOR MOLAR INLAY CARIES CEROMERO  (LABORATORIO)",""
"10044","66","POSTERIOR MOLAR ONLAY CARIES CEROMERO (LABORATORIO)",""
"10046","75","TERCER MOLAR INFERIOR ERUP.  CIRUGIA ",""
"10047","44","GERMECTOMIA ",""
"10048","230","TERCER MOLAR INFERIOR IMPACTADO ",""
"10049","33","TERCER MOLAR SUPERIOR  IMPACTADO ",""
"10051","55","ORTODONCIA CONVENCIONAL METALICO X12 ",""
"10052","188","OSTECTOMIA ",""
"10053","189","CORTE FRENILLO LABIAL Y LINGUAL ",""
"10054","88","RESTO RADICULAR ",""
"10055","56","UNIRRADICULARES ",""
"10056","53","DIENTE RETENIDO CIRUGIA (EXTRACCION) ",""
"10057","69","TERCER MOLAR  SUPERIOR  SIN ERUPCION (CIRUGIA) ",""
"10058","166","TERCER MOLAR ERUPCIONADO (CIRUGIA)  ",""
"10059","221","RECONSTRUCCION DE ANGULO DIENTE PERMANENTE ",""
"10060","222","POSTERIOR MOLAR OVERLAY CARIES CEROMERO (LABORATORIO)",""
"10061","223","ANTERIOR PLATINO COMPLEJA ",""
"10062","224","OBTURACION CERVICAL ",""
"10063","225","OBTURACION  CON IONOMERO ",""
"10065","233","POSTERIOR MOLAR OCLUSAL SIMPLE CARIES ",""
"10066","172","INCRUSTACION DIENTES PREMOLARES  CEROMERO (LABORATORIO)",""
"10067","173","POSTERIOR PREM OCLUSAL SIMPLE CARIES ",""
"10069","155","MEDICACION (SIN OBTURACION C/ PROVIS)",""
"10070","151","ENDODONCIA MECANIZADA ANTERIOR ",""
"10072","333","ENDODONCIA MECANIZADA PRE MOLAR ",""
